day,house,old_x,old_y,new_x,new_y,distance,storage_S,travel_D,food_F,P_move,inertia,population
21,Blue,13,23,13,21,2.0,0.1924,0.45344723859536307,0.0006802721088435374,0.6600431905012456,0.0,56
21,Red,65,24,63,24,2.0,0.2276,0.7232265926517556,0.001927437641723356,0.7064017348524184,0.0,50
22,Blue,13,21,14,20,1.4142135623730951,0.2012,1.0,0.0,0.768204418745775,0.0,58
22,Red,63,24,61,24,2.0,0.2856,1.0,0.0027210884353741495,0.7438655536043383,0.0,50
23,Red,61,24,59,24,2.0,0.3236,1.0,0.004308390022675737,0.7322333235131415,0.0,50
24,Blue,14,20,15,20,1.0,0.2048,0.7387974259744281,0.0002834467120181406,0.645555880284916,0.1,60
25,Blue,15,20,16,20,1.0,0.2068,0.5261427398901225,0.0,0.6717129558355839,0.0,61
26,Blue,16,20,17,20,1.0,0.2108,0.3845748277650323,0.00022675736961451248,0.638283390759004,0.0,62
27,Blue,17,20,18,20,1.0,0.2144,0.3469448399921402,0.0,0.6283967169236229,0.0,62
27,Red,59,24,57,25,2.23606797749979,0.3336,1.0,0.004231292517006803,0.5105187671874423,0.30000000000000004,50
28,Blue,18,20,19,20,1.0,0.2164,0.28817636035096,0.0004671201814058957,0.6136407729764126,0.0,62
29,Red,57,25,57,26,1.0,0.4798,1.0,0.006018140589569161,0.6148306634634492,0.1,50
30,Blue,19,20,20,20,1.0,0.2172,0.5707946425155057,0.00045351473922902497,0.6101001514789329,0.1,64
30,Red,57,26,57,26,0.0,0.5404,1.0,0.005401360544217687,0.6634255527194072,0.0,50
31,Red,57,26,57,26,0.0,0.6062,1.0,0.0035759637188208615,0.6418834085055077,0.0,50
32,Blue,20,20,21,20,1.0,0.2414,1.0,0.0007052154195011338,0.6813310831208612,0.1,67
33,Red,57,26,58,25,1.4142135623730951,0.7234,1.0,0.0017369614512471655,0.5412867984348099,0.1,52
34,Blue,21,20,22,20,1.0,0.271,0.5074649180997572,0.0005464852607709751,0.5810643083730088,0.1,69
34,Red,58,25,56,24,2.23606797749979,0.7274,0.7545567665519698,0.0014739229024943311,0.5400413013600921,0.0,53
35,Red,56,24,54,23,2.23606797749979,0.7312,1.0,0.002380952380952381,0.5983123379334476,0.0,55
36,Blue,22,20,23,20,1.0,0.2826,0.3739175582914111,0.0002925170068027211,0.5494538727393404,0.1,72
37,Blue,23,20,24,21,1.4142135623730951,0.2846,0.787128165908082,0.0005668934240362812,0.7024714094561268,0.0,72
37,Red,54,23,54,23,0.0,0.8408,1.0,0.004485260770975057,0.501485204390029,0.1,58
40,Red,54,23,55,24,1.4142135623730951,0.9978,1.0,0.0020090702947845804,0.3998563718882589,0.2,63
41,Blue,24,21,25,22,1.4142135623730951,0.3146,0.43730734021954276,0.0003401360544217687,0.4298944770724058,0.30000000000000004,77
43,Red,55,24,55,24,0.0,1.0,1.0,0.0037936507936507935,0.3984825469621527,0.2,68
45,Red,55,24,56,25,1.4142135623730951,1.0,0.5413033042013918,0.002074829931972789,0.34767972609702663,0.1,71
46,Red,56,25,56,25,0.0,1.0,1.0,0.002619047619047619,0.4986904791846551,0.0,73
47,Red,56,25,55,24,1.4142135623730951,1.0,0.9753097637085443,0.0021133786848072564,0.49277125529623483,0.0,75
49,Red,55,24,55,24,0.0,1.0,0.7275901777518046,0.0020793650793650793,0.3881657170256282,0.1,77
52,Red,55,24,55,24,0.0,1.0,0.19141994039267918,0.0025895691609977324,0.24567200995214633,0.2,80
53,Red,55,24,55,24,0.0,1.0,0.6388717481533664,0.0035215419501133786,0.408982965111734,0.0,82
54,Blue,25,22,26,23,1.4142135623730951,0.5044,0.48467010503429103,0.0006802721088435374,0.11128717527886085,1.0,94
54,Red,55,24,55,24,0.0,1.0,1.0,0.004512471655328798,0.4977437794863367,0.0,83
55,Blue,26,23,27,24,1.4142135623730951,0.5098,0.4814893402956202,0.00022675736961451248,0.5538740061359119,0.0,96
56,Red,55,24,56,25,1.4142135623730951,1.0,1.0,0.0025011337868480724,0.4488744921428528,0.1,86
58,Red,56,25,56,25,0.0,1.0,0.6453504521586001,0.0023945578231292517,0.3699859108233296,0.1,88
61,Blue,27,24,28,25,1.4142135623730951,0.5658,0.7189070632002348,0.00045351473922902497,0.2956449155404312,0.5,105
61,Red,56,25,56,25,0.0,1.0,1.0,0.0032312925170068026,0.3987074874916768,0.2,91
63,Blue,28,25,29,26,1.4142135623730951,0.7096,0.9258465937440958,0.00022675736961451248,0.5303527282865508,0.1,108
66,Blue,29,26,30,27,1.4142135623730951,0.7386,0.3465610975681573,0.00011337868480725624,0.34798309868963817,0.2,113
67,Blue,30,27,31,28,1.4142135623730951,0.7374,0.3661892200292363,0.00011337868480725624,0.44025245709576233,0.0,115
75,Blue,31,28,32,29,1.4142135623730951,0.8688,0.9403589688717973,0.0003560090702947846,0.16021767369642795,0.7,124
76,Red,56,25,56,25,0.0,1.0,1.0,0.001528344671201814,0.09984716565187851,1.0,113
77,Blue,32,29,33,28,1.4142135623730951,0.9448,0.3950208202863789,0.0,0.3351085289438248,0.1,126
78,Red,56,25,56,25,0.0,1.0,0.4813484097992295,0.002111111111111111,0.33496243752981475,0.1,116
79,Red,56,25,56,25,0.0,1.0,0.6731146377281432,0.0023560090702947844,0.41785200673355105,0.0,117
80,Blue,33,28,34,29,1.4142135623730951,1.0,0.866364100013915,0.00011337868480725624,0.37326737557355605,0.2,129
81,Blue,34,29,35,29,1.0,1.0,0.8003961583480539,0.00016780045351473923,0.45018099170300613,0.0,130
82,Blue,35,29,36,30,1.4142135623730951,1.0,0.7189094984833189,0.00022675736961451248,0.4300752806233374,0.0,132
82,Red,56,25,56,25,0.0,1.0,0.2022814993811177,0.0016893424036281178,0.2478326953632981,0.2,120
84,Red,56,25,56,25,0.0,1.0,0.9647209482267243,0.0022607709750566895,0.4410460483677586,0.1,123
85,Red,56,25,56,25,0.0,1.0,0.3497699922687591,0.0007936507936507937,0.3425801277570282,0.0,124
